1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
285.75259889739834,284.56085338358434,296.0906593410387,256.99996114516534,322.5714716764424,263.1530133090019,286.95007871983205,293.9838445925162,325.64532277387195,313.9364878706591,322.6006333991744,387.6343750516609,453.042666268197,395.5204216468057,440.43314693738733,406.9462410649148,455.4040102620742,496.1015317913551,483.7068449672647,497.64595969565875,522.4280106517216,512.531826298422,438.3462077555826,522.9379039497267,417.33119036899876,503.8995383495727,543.6627130729312,431.8162486762937,599.4922408966135,462.1213969063303
250.3128948455437,283.90737734576913,266.36956280036424,265.6758118955883,254.4081805461734,292.99155758456743,265.5561340694407,331.70886611747324,267.63612717066826,307.6079875442173,316.3846110045839,337.2101885839176,350.1082951883206,392.2759766510923,442.29418167207035,449.7058208700248,435.2858372513536,479.53233497011087,463.41389756756945,492.949621670763,442.31906362236555,414.78943869487745,503.21891562181946,455.36857474765685,483.70920257158434,531.4188307718672,579.5685039890466,623.0772303763468,377.14179928610275,552.3869935255113
285.7535197358922,285.89150980441224,223.66679093565588,297.05363156155073,289.8404262227899,289.80949047104735,259.00939081637523,324.7434343543307,286.35539070243055,321.04171468307356,295.5316103842802,273.8766595196857,413.81800067121515,287.8991612794511,391.92082243423033,430.3019546680562,477.6106310006434,475.3649515100636,507.0968168394068,348.9116231983903,402.06946440115047,517.627214598984,532.0491178118284,482.65042990274037,431.4018192314882,513.816193718341,580.0722875310225,506.6686261039718,585.0240237026749,464.74752012353593
285.13421661195514,264.3641872536961,285.9023923956767,286.3364480067957,224.29349686015962,231.63742864687694,293.72025139218164,337.67621670373467,281.04726469957666,369.92408755181583,353.9176133303231,339.2762137567791,331.0866192978756,333.06845423465694,322.4861086356783,311.4813984335721,399.04961898136156,422.38322875585135,462.9873050009892,453.8005370603482,410.57372546840224,436.2778308532182,490.19782997953985,568.7858847076263,586.6139669587528,593.2813576484843,476.22965641835816,514.0203442957802,383.37496893344473,531.0491461023814
284.9078396538033,288.86173196110684,285.75797798739666,278.0553205800686,253.5208864828858,294.8291797604396,297.6542510460982,282.13262673455273,298.7509323467191,298.2879386613646,325.8763605152639,306.9444121222032,368.1026478887936,343.4204054101326,358.8343494696728,448.05715258570626,412.3283253048478,403.4135351860128,273.1608024419252,513.3117816608019,542.7681709164048,317.95810031464356,489.12682635733427,482.7623674307697,442.14599739583554,492.35975672648306,586.0304332917233,497.7960370877514,616.7245642059934,590.3286815445028
281.4168742246941,285.8347139602029,276.75494604767476,266.8101574897904,286.7731719732192,290.8956506036531,281.93935943971246,352.8599842513422,382.73518952850395,326.0633059842251,410.04013526718916,375.57467702420263,364.9401362725188,486.3438460662667,297.12722185003827,440.09963636369275,362.1416489128762,383.574070456825,514.667084646596,433.0826551132847,418.4752831372598,490.3297556540919,438.99718399367384,474.54298424376975,489.3995990493746,591.7165355734686,371.83137369003697,539.0335314685534,514.9035692612495,505.84301412506113
236.11554767233153,277.63121465011045,274.5463671338468,277.55707081829206,290.0062374343946,275.208581336846,294.9905829439134,269.40829380897776,341.062932952093,294.53446385430993,443.39882901295033,314.1472865476345,309.7997566351237,312.9516315129781,470.5741721732122,387.68934285740175,396.8267782678188,568.0820343553708,613.2246387395052,375.8579588922366,449.57342115530963,513.2499633117174,405.8338843653382,601.8472640149711,588.8367430073424,569.4225565594862,488.796428217678,518.2633288408541,530.5311584542361,676.8550497696317
285.07134886861223,273.5690391592889,239.25948951528042,268.74394409475974,250.65729491420623,238.12872578754028,239.53555281714586,297.9759150869657,297.01489242169185,363.14959897742756,361.9575429090659,324.06645939204543,369.44875576146575,415.57636519745637,437.90309817379244,366.53611311906155,523.3054476638405,451.9821962101213,336.6279246211895,436.47735094241875,482.7198081056383,470.0266290875805,478.9662908052268,502.58278114720866,611.5796075378773,510.78353000211166,583.0492014811583,586.1352891236095,495.4509622457292,515.5306596490855
281.48200343166144,285.75974045145637,283.3813168928763,236.9875956811226,289.07149058368003,275.0142216573933,311.9322144956339,316.6161552191147,362.8154310837107,328.67493832615236,342.2794053408704,284.80399728796255,393.7884726036941,372.7635935609132,450.6988565655822,347.3778256775674,353.0987830505893,459.391254950572,495.1958136064157,601.640597621758,455.0623035524012,566.3238357039992,474.0497453149507,471.4937730470036,558.5562107271497,533.4591150680294,460.48701088104707,446.59716971183684,480.8935805137107,526.0783959142194
285.68511269508707,258.4545512637488,272.1704686952051,283.1074299724722,284.58232309940433,263.0641683527371,299.8521203741881,302.6430134889969,276.4914786285965,345.133773658517,268.2334061449181,391.1388091497938,422.946788953645,358.78516677316463,331.39278845339726,499.73413121439944,334.0516568129383,355.77934698082396,439.8659848691684,467.40588571848315,559.7727791749336,512.0817379121199,538.386868862923,597.6406404381279,499.03447109052763,491.4301885731154,580.9517310760053,618.1740309170559,641.6135230911718,619.0234254390573
