1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-85.5638888247461,-78.28035107614498,-68.96531377498464,-73.0185675808275,-61.924889742650365,-72.71083595534984,-67.65051286140806,-68.113280341364,-64.52761498198426,-67.6352721681657,-64.87831994829048,-54.22973745698058,-60.82829490490338,-69.3709227704328,-66.71716133056864,-64.06854366209036,-64.8538350325863,-63.97048452441794,-69.91596070368958,-68.83459672488394,-61.82300596388707,-66.82492885808527,-65.12314255832386,-70.7600005968378,-71.7237131993847,-73.28673760881314,-76.08234679864083,-74.57549841558647,-78.91210138925638,-68.81938068180786
-83.73692393538697,-79.39078969340747,-78.6708646139856,-71.16949972899698,-71.94606029052933,-72.1440898847187,-68.06546010546961,-67.35838321694106,-65.39087607412857,-61.867460718037826,-69.43417782620315,-60.122977562203126,-63.11746366865523,-65.92250981434348,-63.118724801757544,-66.49120308040418,-66.78097128808822,-62.219039929832874,-67.98183381988486,-72.47535658345795,-71.39459688231705,-64.94444253714971,-65.30794861674894,-75.30935556806725,-71.99556022009489,-72.77068784424497,-73.66164341072222,-73.55513085317413,-74.61587155783067,-74.73875024533079
-89.06233431143568,-81.80785514325099,-77.07656361513699,-68.45283346246603,-71.83391215307438,-71.13747865459064,-66.9806526202312,-58.28461299350664,-56.38697315682193,-66.25207540488431,-61.63969750643304,-59.441407834905405,-69.26955421912963,-61.95895069503256,-67.4864877448364,-69.89146866641097,-62.77072594106516,-64.83812133540567,-66.7960225475267,-70.83595706264832,-78.82063105322972,-62.95732415113077,-70.84985800747292,-63.05606544853309,-75.61105387028302,-73.83812251978993,-76.00560276443858,-74.47287617725937,-70.72234222210523,-72.94986072350234
-88.04036199486741,-73.42014034713009,-76.07500491852294,-67.31646162712649,-67.94123951431094,-66.93377911519534,-61.57966769665986,-64.75896334714854,-61.345071358316744,-63.897393265245576,-66.7132006774067,-64.81294727393181,-60.144261461297845,-66.52479910170686,-67.30466500109367,-57.62645711859437,-71.48589248411423,-67.93168199542392,-71.42222684852847,-72.6646519050929,-57.32583044266887,-67.52797127402418,-69.47593426948679,-60.04648318846609,-74.16332177033584,-68.54340881250477,-80.70916435089316,-73.68040994254436,-74.81427008378652,-76.70355381259674
-89.08229111612773,-70.87220723025841,-76.01261621468298,-66.98945138608508,-64.71872586669961,-70.21418247795272,-65.87314773917522,-61.620524796889576,-68.7330370935067,-67.46157166872678,-58.120575019781256,-67.00757518760194,-69.35048905384522,-60.50746611869289,-60.65186845417039,-67.62061259444371,-57.75574178941643,-61.244499223869646,-67.65518801803077,-61.678769883451494,-69.82571585438893,-77.10859855604612,-64.46780047946307,-70.20790069921901,-68.9062155797958,-71.16732085790605,-77.74423174568571,-71.90442010068635,-74.35380822463387,-70.57425827008129
-75.82853246028063,-81.74835755748113,-80.97010810556905,-67.95323578355449,-65.98446486254362,-69.44324109435844,-69.08279411320221,-62.766987019135776,-51.14387651009542,-57.17950498552343,-59.32421311570598,-63.72325681438975,-67.90033650711433,-60.16812711865619,-54.363708140287,-70.94104262852905,-64.48615526942923,-67.81723048412304,-63.75577617405787,-64.34477381082195,-69.67533435219408,-72.40037867969588,-70.03727563235508,-73.30537732004407,-69.49286553176738,-79.76442191545527,-77.20929282132755,-72.74718923432535,-75.90607683756235,-79.46562373792345
-89.01187811184778,-76.0037370103281,-65.0763451235006,-65.76679058823781,-65.59337522346702,-60.63741508478822,-70.2762745245472,-58.08716712985804,-59.809615849962036,-68.12954386516355,-58.34528216260955,-59.756595906646695,-63.06199980590563,-63.48620798485199,-66.54425606139795,-70.05812926322072,-63.2783388541612,-71.15554913431001,-68.37733903948771,-65.21198517750425,-73.05176584356603,-69.44329667160406,-65.21354723049562,-60.94006477247007,-61.64000168645687,-67.65059472415444,-73.01189658381541,-79.16729980949444,-77.17001729966445,-71.13066324357035
-86.99618626252614,-83.29347470400494,-72.32125710223401,-66.59745135372381,-68.7582981049741,-68.08288255935733,-63.79449694232092,-64.02983353923297,-67.67263584880224,-67.97762021884375,-63.44495970997682,-63.54846107474771,-58.5184975393791,-66.46110066388265,-65.60095476203276,-67.73410746214815,-69.22140944427703,-64.99729995094484,-69.53639057653767,-72.47084958024307,-74.57586133134804,-59.3277844931622,-70.72790225718181,-70.96407248090216,-69.13051277961064,-76.18720787617856,-62.14341406947934,-72.18799826915003,-79.52061578596114,-67.52580415786373
-89.69245274873782,-80.42854077254626,-64.63030541925828,-68.83094180449761,-69.25605923275873,-75.40210651517329,-67.62121222607828,-65.3588366214706,-66.7909093288907,-62.478660775126876,-65.41964005812135,-67.24867333141482,-68.79557546211579,-64.80533076912612,-70.77362592408623,-67.1281974626014,-66.59349310397012,-60.18296162838876,-74.91403653246034,-63.50523631668223,-76.50045709817606,-68.17013230068449,-67.0373590790191,-80.26060274648489,-70.80895420352216,-72.07935373497246,-65.17079838832738,-71.68395461043602,-70.31601593634039,-63.58413440932877
-89.4452314454218,-76.40149855239893,-74.6474281026224,-69.0917803692804,-70.72232672294601,-69.2286330106962,-67.50289324227566,-65.50134416449906,-67.41828606226342,-67.32120106154761,-57.65068950003523,-61.83257860776555,-68.96616294051356,-64.35310366035547,-65.85193710549605,-64.10120904403286,-61.294163540318245,-65.23549525970122,-67.34887297997142,-67.24853569477831,-64.07861652834842,-56.54800187719755,-70.57541514951939,-73.8375556660849,-69.95885618328133,-65.18323696258832,-66.36521445734094,-76.51019525353699,-66.04897890071403,-74.80152006820444
